type,engine,experiment,count
DatatypeConstraintComponent,dotnet_rdf,ES_core,8
DatatypeConstraintComponent,dotnet_rdf,ES_era,8
DatatypeConstraintComponent,dotnet_rdf,ES_tds,0
DatatypeConstraintComponent,dotnet_rdf,FR_core,28
DatatypeConstraintComponent,dotnet_rdf,FR_tds,0
DatatypeConstraintComponent,jena,ES_core,8
DatatypeConstraintComponent,jena,ES_era,8
DatatypeConstraintComponent,jena,ES_tds,0
DatatypeConstraintComponent,jena,FR_core,28
DatatypeConstraintComponent,jena,FR_era,28
DatatypeConstraintComponent,jena,FR_tds,0
DatatypeConstraintComponent,maplib,ES_core,0
DatatypeConstraintComponent,maplib,ES_era,0
DatatypeConstraintComponent,maplib,ES_tds,0
DatatypeConstraintComponent,maplib,FR_core,0
DatatypeConstraintComponent,maplib,FR_tds,0
DatatypeConstraintComponent,pyshacl,ES_core,8
DatatypeConstraintComponent,pyshacl,ES_era,8
DatatypeConstraintComponent,pyshacl,ES_tds,0
DatatypeConstraintComponent,pyshacl,FR_core,28
DatatypeConstraintComponent,pyshacl,FR_tds,0
DatatypeConstraintComponent,rdf4j,ES_core,8
DatatypeConstraintComponent,rdf4j,ES_era,0
DatatypeConstraintComponent,rdf4j,ES_tds,0
DatatypeConstraintComponent,rdf4j,FR_core,28
DatatypeConstraintComponent,rdf4j,FR_era,0
DatatypeConstraintComponent,rdf4j,FR_tds,0
DatatypeConstraintComponent,rdfunit,ES_core,8
DatatypeConstraintComponent,rdfunit,ES_era,8
DatatypeConstraintComponent,rdfunit,ES_tds,0
DatatypeConstraintComponent,rdfunit,FR_core,28
DatatypeConstraintComponent,rdfunit,FR_era,28
DatatypeConstraintComponent,rdfunit,FR_tds,0
DatatypeConstraintComponent,topbraid,ES_core,8
DatatypeConstraintComponent,topbraid,ES_era,8
DatatypeConstraintComponent,topbraid,ES_tds,0
DatatypeConstraintComponent,topbraid,FR_core,28
DatatypeConstraintComponent,topbraid,FR_era,28
DatatypeConstraintComponent,topbraid,FR_tds,0
DatatypeConstraintComponent,dotnet_rdf,ERA_tds,0
DatatypeConstraintComponent,jena,ERA_core,2251
DatatypeConstraintComponent,jena,ERA_era,2251
DatatypeConstraintComponent,jena,ERA_tds,0
DatatypeConstraintComponent,maplib,ERA_core,0
DatatypeConstraintComponent,maplib,ERA_era,0
DatatypeConstraintComponent,maplib,ERA_tds,0
DatatypeConstraintComponent,maplib,FR_era,0
DatatypeConstraintComponent,rdf4j,ERA_core,2000
DatatypeConstraintComponent,rdf4j,ERA_era,0
DatatypeConstraintComponent,rdf4j,ERA_tds,0
DatatypeConstraintComponent,rdfunit,ERA_core,2251
DatatypeConstraintComponent,rdfunit,ERA_era,2251
DatatypeConstraintComponent,rdfunit,ERA_tds,0
DatatypeConstraintComponent,topbraid,ERA_core,2251
DatatypeConstraintComponent,topbraid,ERA_era,2251
DatatypeConstraintComponent,topbraid,ERA_tds,0
MinInclusiveConstraintComponent,corese,ES_core,0
MinInclusiveConstraintComponent,corese,ES_era,0
MinInclusiveConstraintComponent,corese,ES_tds,0
MinInclusiveConstraintComponent,corese,FR_core,0
MinInclusiveConstraintComponent,corese,FR_tds,0
MinInclusiveConstraintComponent,dotnet_rdf,ES_core,0
MinInclusiveConstraintComponent,dotnet_rdf,ES_era,0
MinInclusiveConstraintComponent,dotnet_rdf,ES_tds,0
MinInclusiveConstraintComponent,dotnet_rdf,FR_core,0
MinInclusiveConstraintComponent,dotnet_rdf,FR_tds,0
MinInclusiveConstraintComponent,jena,ES_core,0
MinInclusiveConstraintComponent,jena,ES_era,0
MinInclusiveConstraintComponent,jena,ES_tds,0
MinInclusiveConstraintComponent,jena,FR_core,0
MinInclusiveConstraintComponent,jena,FR_era,0
MinInclusiveConstraintComponent,jena,FR_tds,0
MinInclusiveConstraintComponent,maplib,ES_core,0
MinInclusiveConstraintComponent,maplib,ES_era,0
MinInclusiveConstraintComponent,maplib,ES_tds,0
MinInclusiveConstraintComponent,maplib,FR_core,0
MinInclusiveConstraintComponent,maplib,FR_tds,0
MinInclusiveConstraintComponent,pyshacl,ES_core,0
MinInclusiveConstraintComponent,pyshacl,ES_era,0
MinInclusiveConstraintComponent,pyshacl,ES_tds,0
MinInclusiveConstraintComponent,pyshacl,FR_core,0
MinInclusiveConstraintComponent,pyshacl,FR_tds,0
MinInclusiveConstraintComponent,rdf4j,ES_core,0
MinInclusiveConstraintComponent,rdf4j,ES_era,0
MinInclusiveConstraintComponent,rdf4j,ES_tds,0
MinInclusiveConstraintComponent,rdf4j,FR_core,0
MinInclusiveConstraintComponent,rdf4j,FR_era,0
MinInclusiveConstraintComponent,rdf4j,FR_tds,0
MinInclusiveConstraintComponent,rdfunit,ES_core,0
MinInclusiveConstraintComponent,rdfunit,ES_era,0
MinInclusiveConstraintComponent,rdfunit,ES_tds,0
MinInclusiveConstraintComponent,rdfunit,FR_core,0
MinInclusiveConstraintComponent,rdfunit,FR_era,0
MinInclusiveConstraintComponent,rdfunit,FR_tds,0
MinInclusiveConstraintComponent,topbraid,ES_core,0
MinInclusiveConstraintComponent,topbraid,ES_era,0
MinInclusiveConstraintComponent,topbraid,ES_tds,0
MinInclusiveConstraintComponent,topbraid,FR_core,0
MinInclusiveConstraintComponent,topbraid,FR_era,0
MinInclusiveConstraintComponent,topbraid,FR_tds,0

MinInclusiveConstraintComponent,dotnet_rdf,ERA_tds,0
MinInclusiveConstraintComponent,jena,ERA_core,1374
MinInclusiveConstraintComponent,jena,ERA_era,1374
MinInclusiveConstraintComponent,jena,ERA_tds,0
MinInclusiveConstraintComponent,maplib,ERA_core,687
MinInclusiveConstraintComponent,maplib,ERA_era,687
MinInclusiveConstraintComponent,maplib,ERA_tds,0
MinInclusiveConstraintComponent,maplib,FR_era,0
MinInclusiveConstraintComponent,rdf4j,ERA_core,1374
MinInclusiveConstraintComponent,rdf4j,ERA_era,0
MinInclusiveConstraintComponent,rdf4j,ERA_tds,0
MinInclusiveConstraintComponent,rdfunit,ERA_core,687
MinInclusiveConstraintComponent,rdfunit,ERA_era,687
MinInclusiveConstraintComponent,rdfunit,ERA_tds,0
MinInclusiveConstraintComponent,topbraid,ERA_core,1374
MinInclusiveConstraintComponent,topbraid,ERA_era,1374
MinInclusiveConstraintComponent,topbraid,ERA_tds,0
MaxExclusiveConstraintComponent,corese,ES_core,0
MaxExclusiveConstraintComponent,corese,ES_era,0
MaxExclusiveConstraintComponent,corese,ES_tds,0
MaxExclusiveConstraintComponent,corese,FR_core,0
MaxExclusiveConstraintComponent,corese,FR_tds,0
MaxExclusiveConstraintComponent,dotnet_rdf,ES_core,0
MaxExclusiveConstraintComponent,dotnet_rdf,ES_era,0
MaxExclusiveConstraintComponent,dotnet_rdf,ES_tds,0
MaxExclusiveConstraintComponent,dotnet_rdf,FR_core,0
MaxExclusiveConstraintComponent,dotnet_rdf,FR_tds,0
MaxExclusiveConstraintComponent,jena,ES_core,0
MaxExclusiveConstraintComponent,jena,ES_era,0
MaxExclusiveConstraintComponent,jena,ES_tds,0
MaxExclusiveConstraintComponent,jena,FR_core,0
MaxExclusiveConstraintComponent,jena,FR_era,0
MaxExclusiveConstraintComponent,jena,FR_tds,0
MaxExclusiveConstraintComponent,maplib,ES_core,0
MaxExclusiveConstraintComponent,maplib,ES_era,0
MaxExclusiveConstraintComponent,maplib,ES_tds,0
MaxExclusiveConstraintComponent,maplib,FR_core,0
MaxExclusiveConstraintComponent,maplib,FR_tds,0
MaxExclusiveConstraintComponent,pyshacl,ES_core,0
MaxExclusiveConstraintComponent,pyshacl,ES_era,0
MaxExclusiveConstraintComponent,pyshacl,ES_tds,0
MaxExclusiveConstraintComponent,pyshacl,FR_core,0
MaxExclusiveConstraintComponent,pyshacl,FR_tds,0
MaxExclusiveConstraintComponent,rdf4j,ES_core,0
MaxExclusiveConstraintComponent,rdf4j,ES_era,0
MaxExclusiveConstraintComponent,rdf4j,ES_tds,0
MaxExclusiveConstraintComponent,rdf4j,FR_core,0
MaxExclusiveConstraintComponent,rdf4j,FR_era,0
MaxExclusiveConstraintComponent,rdf4j,FR_tds,0
MaxExclusiveConstraintComponent,rdfunit,ES_core,0
MaxExclusiveConstraintComponent,rdfunit,ES_era,0
MaxExclusiveConstraintComponent,rdfunit,ES_tds,0
MaxExclusiveConstraintComponent,rdfunit,FR_core,0
MaxExclusiveConstraintComponent,rdfunit,FR_era,0
MaxExclusiveConstraintComponent,rdfunit,FR_tds,0
